127.0.0.1 - - [17/Oct/2023:13:52:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Oct/2023:13:52:07 +0900] "GET /jspbook/ch05/request_form.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [17/Oct/2023:13:52:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Oct/2023:13:52:15 +0900] "POST /jspbook/ch05/request_result.jsp HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:19:36 +0900] "GET /jspbook/ch05/compare_main.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:19:54 +0900] "POST /jspbook/ch05/forward_action.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:20:07 +0900] "GET /jspbook/ch05/compare_main.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:20:11 +0900] "POST /jspbook/ch05/response_sendRedirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:20:11 +0900] "GET /jspbook/ch05/end_page.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:38:54 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:39:01 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:39:02 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:39:02 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:45:28 +0900] "GET /jspbook/ch05/out.jsp HTTP/1.1" 200 179
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:21 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:25 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:26 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:26 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:26 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:27 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:27 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:36 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:36 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:37 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:37 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:37 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:37 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:38 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:38 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:38 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:39 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:39 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:54:39 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [17/Oct/2023:14:57:45 +0900] "GET /jspbook/ch05/session.jsp HTTP/1.1" 200 306
