127.0.0.1 - - [02/Nov/2023:14:14:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:14:45 +0900] "GET /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:14:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:14:53 +0900] "POST /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:25:03 +0900] "GET /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:25:06 +0900] "POST /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:25:34 +0900] "GET /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:26:49 +0900] "GET /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:26:54 +0900] "POST /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:27:27 +0900] "GET /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:27:34 +0900] "POST /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:27:34 +0900] "POST /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:27:34 +0900] "POST /jspbook/ch06/jdbctest.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:28:46 +0900] "GET /jspbook/ch06/jdbctest2.jsp HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:30:56 +0900] "POST /jspbook/ch06/jdbctest2.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:42:08 +0900] "GET /jspbook/ch06/selectstudent.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:42:44 +0900] "GET /jspbook/ch06/select.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [02/Nov/2023:14:42:52 +0900] "POST /jspbook/ch06/selectstudent.jsp HTTP/1.1" 200 1199
